INFO 2025-08-30 00:06:30,170 autoreload 11512 13544 Watching for file changes with StatReloader
WARNING 2025-08-30 00:06:33,835 basehttp 11512 17276 "GET / HTTP/1.1" 404 2518
WARNING 2025-08-30 00:06:34,879 basehttp 11512 17276 "GET /favicon.ico HTTP/1.1" 404 2569
INFO 2025-08-30 00:07:01,199 basehttp 11512 17276 "GET /admin HTTP/1.1" 301 0
INFO 2025-08-30 00:07:01,218 basehttp 11512 20608 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-08-30 00:07:01,381 basehttp 11512 20608 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4178
INFO 2025-08-30 00:07:01,559 basehttp 11512 20608 "GET /static/admin/css/base.css HTTP/1.1" 200 21207
INFO 2025-08-30 00:07:01,582 basehttp 11512 20608 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-08-30 00:07:01,606 basehttp 11512 5524 "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2025-08-30 00:07:01,609 basehttp 11512 25236 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
INFO 2025-08-30 00:07:01,611 basehttp 11512 20572 "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2025-08-30 00:07:01,613 basehttp 11512 24624 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
INFO 2025-08-30 00:07:01,616 basehttp 11512 24220 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18533
INFO 2025-08-30 00:07:20,951 basehttp 11512 24220 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-08-30 00:07:21,030 basehttp 11512 24220 "GET /admin/ HTTP/1.1" 200 7880
INFO 2025-08-30 00:07:21,068 basehttp 11512 24220 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-08-30 00:07:21,110 basehttp 11512 24220 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-08-30 00:07:21,110 basehttp 11512 24624 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-08-30 00:07:24,979 basehttp 11512 24624 "GET /admin/doctors/doctor/add/ HTTP/1.1" 200 20936
INFO 2025-08-30 00:07:25,022 basehttp 11512 24624 "GET /static/admin/css/forms.css HTTP/1.1" 200 9047
INFO 2025-08-30 00:07:25,050 basehttp 11512 5524 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-08-30 00:07:25,050 basehttp 11512 25236 "GET /static/admin/js/collapse.js HTTP/1.1" 200 1803
INFO 2025-08-30 00:07:25,053 basehttp 11512 20608 "GET /static/admin/js/core.js HTTP/1.1" 200 5682
INFO 2025-08-30 00:07:25,083 basehttp 11512 5524 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11900
INFO 2025-08-30 00:07:25,089 basehttp 11512 24624 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 8943
INFO 2025-08-30 00:07:25,097 basehttp 11512 24220 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
